vehicle_count,run,emergency_latency_avg_ms_baseline,emergency_latency_avg_ms_sdnv,background_latency_avg_ms_baseline,background_latency_avg_ms_sdnv,primary_udp_bw_mbps_baseline,primary_udp_bw_mbps_sdnv,helper_udp_bw_mbps_baseline,helper_udp_bw_mbps_sdnv,local_tcp_bw_mbps_baseline,local_tcp_bw_mbps_sdnv,udp_bw_mbps_baseline,udp_bw_mbps_sdnv,throughput_mbps_baseline,throughput_mbps_sdnv,udp_share_pct_baseline,udp_share_pct_sdnv,priority_enforcement_ratio_baseline,priority_enforcement_ratio_sdnv,traffic_suppression_efficiency_pct_sdnv,policy_reaction_ms_sdnv,emapt_50_ms_baseline,emapt_50_ms_sdnv,emapt_90_ms_baseline,emapt_90_ms_sdnv,emapt_100_ms_baseline,emapt_100_ms_sdnv
15,1,8.003,2.303,7.092,9.906,9.99,10.0,9.995000000000001,9.996000000000002,21.2,0.0955,19.985,19.996000000000002,88.49,9.5155,18.42359990781286,67.75663724310861,0.11289411232907674,1.0509169250170776,89.24680754887558,3623.193,13.464,103.698,19.897,121.322,1042.064,338.635
15,2,6.914,2.274,6.025,11.185,10.0,10.0,9.998000000000003,9.996000000000002,21.7,0.09570000000000001,19.998000000000005,19.996000000000002,89.06,9.545700000000002,18.33703167122082,67.68737073357322,0.11228385358185493,1.0475921095362308,89.28172018863688,3627.733,82.813,85.47,93.15,129.257,97.145,141.01
15,3,7.327,1.989,6.408,11.232,10.0,10.0,9.996000000000002,9.997000000000003,21.8,0.09570000000000001,19.996000000000002,19.997000000000003,89.63,9.519700000000002,18.24019849305822,67.7480883703124,0.11156978690170702,1.0504532705862577,89.37889099631819,3719.7,12.839,140.546,14.265,156.009,1143.241,177.817
15,4,7.771,2.385,7.785,11.347,9.99,10.0,9.996000000000002,9.999000000000002,21.5,0.09570000000000001,19.986000000000004,19.999000000000002,88.93,9.573700000000004,18.349921040067578,67.62656098360989,0.11233554481052513,1.044528238820936,89.23456651298774,3975.849,17.543,69.785,26.742,94.866,1134.821,110.432
15,5,6.81,2.337,8.287,128.204,9.98,9.99,9.996000000000002,9.997000000000002,21.5,0.09029999999999999,19.976000000000003,19.987000000000002,88.61999999999999,9.561300000000001,18.39478433828134,67.64179326729456,0.11261566237869557,1.0448369991528348,89.21090047393363,3689.378,12.812,98.135,15.138,112.542,15.268,112.745
20,1,19.067,2.629,19.587,9.853,9.91,10.0,9.964,9.993999999999998,16.7,0.0952,19.874000000000002,19.994,78.58,9.6222,20.186076746500905,67.51034906571404,0.12611351488928482,1.0392633701232568,87.75489946551285,5151.44,26.624,29.11,39.09,30.792,39.519,75.284
20,2,38.491,8.807,37.196,136.593,9.27,9.6,9.049,9.8,9.71,0.09079999999999999,18.319,19.4,62.70000000000001,9.530799999999997,22.61074562756884,67.05656255616852,0.1478468899521531,1.00726067066773,84.7993620414673,8078.421,91.606,78.268,215.145,118.873,1049.035,147.81
20,3,19.597,4.512,18.33,135.426,9.95,9.99,9.985000000000003,9.994999999999997,16.2,0.09040000000000001,19.935000000000002,19.985,76.73,9.537400000000002,20.622769358092384,67.69436089206839,0.12967548546852598,1.0474552813135654,87.57018115469829,8258.616,33.125,178.82,66.334,202.046,1034.773,209.986
20,4,22.116,2.33,22.343,10.991,9.97,10.0,9.994999999999997,9.994999999999997,13.7,0.09490000000000001,19.964999999999996,19.994999999999997,71.43999999999998,9.599900000000002,21.842349980854443,67.56231648020436,0.13955767077267642,1.0416775174741402,86.5622900335946,6201.1269999999995,34.648,83.366,131.842,121.421,1091.598,135.722
20,5,17.319,2.662,17.967,11.266,9.99,10.0,9.991999999999997,9.993999999999998,17.7,0.09490000000000001,19.982,19.994,80.60999999999999,9.604900000000002,19.864402735804042,67.54980759420114,0.12393003349460367,1.0411352538808314,88.08472894181864,6142.1320000000005,31.262,36.608,51.282,84.765,55.289,96.444
